,title,isbn13,loan_cnt,author,publisher,sex,age,genre
1650,어페어 :리 차일드 장편소설,9788993824797,3,지은이: 리 차일드 ;옮긴이: 정경호,오픈하우스,남성,60대 이상,Fiction
1651,해결사 :이원호 대표작 신작장편소설,9788993151213,3,이원호,한결미디어,남성,60대 이상,Literary Collections
1652,외딴집,9788991931305,3,미야베 미유키 지음;김소연 옮김,북스피어,남성,60대 이상,Literary Collections
1653,하루살이,9788991931763,3,미야베 미유키 지음 ;이규원 옮김,북스피어,남성,60대 이상,Fiction
1654,살아갈 날들을 위한 공부,9788992378093,3,레프 톨스토이 지음;이상원 옮김,조화로운삶,남성,60대 이상,Conduct of life
1655,(김홍신의) 대발해 :대하소설,9788992673129,3,김홍신,아리샘,남성,60대 이상,Fiction
1656,고수의 몸 이야기 - 인생을 바꾸기 전에 몸부터 바꿔라,9788959896707,5,한근태,미래의창,,60대 이상,Exercise
1657,세상의 봄,9788934993223,5,지은이: 미야베 미유키 ;옮긴이: 권영주,김영사,,60대 이상,Fiction
1658,늙어도 늙지 않는 법 :'나이 탓'이라 여기며 건강을 놓치고 있는 당신에게,9788934985679,5,김광일 지음,김영사,,60대 이상,Health & Fitness
1659,식객 2 - 진수성찬을 차려라,9788934926474,5,허영만,김영사,,60대 이상,Motion pictures
1660,"반짝이는 일을 미루지 말아요 :세계일주 그 후, 나를 찾아가는 여정",9788925536774,5,글·사진: 여행자may,RHK(알에이치코리아),,60대 이상,Literary Collections
1661,미래에서 온 외계인 보고서 - SF 우주선부터 인조인간까지,9788932474335,5,박상준 (지은이),을유문화사,,60대 이상,Astronomy
1662,모모와 토토,9788943312848,7,김슬기 (지은이),보림,,,Children's stories
1663,(세상을 담은 그림)지도,9788943305239,7,김향금 글;최숙희 그림,보림출판사,,,Children's atlases
1664,까칠한 재석이가 폭발했다 (양장),9791186639610,8,"고정욱 (지은이), 이은재 (그림)",애플북스,,,Fiction
1665,초등학생을 위한 양자역학 2 - 아인슈타인과의 만남,9791164050666,8,"이억주 (글), 홍승우 (그림), 최준곤 (감수), 어린이과학동아 편집부 (기획)",해나무,,,Computers
1666,월급쟁이 재테크 상식사전 =Common sense dictionary for salaried,9791160508079,8,우용표 지음,길벗,,,Business & Economics
1667,나는 엄마가 둘이래요!,9791159950865,8,정설희 (지은이),노란돼지,,,Korean philology
1668,그래도 넌 내 친구!,9788992351867,8,제시카 월턴,여유당,,,Fiction
1669,(부자 아빠 기요사키가 말하는) 부자들의 음모,9788990872968,8,로버트 기요사키 지음 ;윤영삼 옮김,흐름출판,,,Business & Economics
1670,어느 날 내가 죽었습니다,9788990878052,8,이경혜 지음,바람의아이들,,,Korean language
1671,옆집이 수상해,9788962479591,8,양지안 글 ;신민재 그림,위즈덤하우스 미디어그룹,,,Juvenile Nonfiction
1672,파과 :구병모 장편소설,9788957077740,8,지은이: 구병모,자음과모음,,,Fiction
1673,튤립,9788955475791,8,"아라이 마키 (지은이), 사과나무 (옮긴이)",크레용하우스,,,Fiction
1674,(간니닌니) 마법의 도서관 :명작 속으로 떠나는 판타지 동화 여행,9788950985882,8,"글: 지유리,그림: 이경희",북이십일,,,Juvenile Fiction
1675,내 토끼 어딨어?,9788952209481,8,[지은이·그린이]: 모 윌렘스 ;옮긴이: 정회성,살림출판사,,,Fathers and daughters
1676,이상한 하루,9788949102511,8,연수 (지은이),비룡소,,,Aquariums
1677,위대한 가족,9791187287148,9,윤진현,천개의바람,,,Fiction
1678,시원한 책,9791164631810,9,"이수연 (지은이), 민승지 (그림)",발견,,,Fiction
1679,빨강 머리 앤,9791164450084,9,루시 모드 몽고메리 지음 ;박혜원 옮김,더모던,,,Literary Collections
1680,남보다 내 마음이 우선입니다 - 남 눈치 보다가 이도저도 못하고 시간 낭비만 하는 당신에게,9791164160570,9,"오시마 노부요리 (지은이), 고정미 (옮긴이)",책들의정원,,,Business & Economics
